"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME_MAPK1_MAPK3_SIGNALING","REACTOME_MAPK1_MAPK3_SIGNALING","51/1437","271/11448",0.188191881918819,1.49924889645556,3.15119028098423,0.00182273659006279,0.0298040634580128,0.0253588356413505,"IL6ST/FGF7/HGF/NRG1/ANGPT1/FGF2/ACTB/RASA3/KITLG/AREG/RGL3/FN1/UBC/JAK3/PSMA1/DUSP1/DUSP5/ERBB4/VCL/FGF1/IL6/MAP2K2/MAPK12/APBB1IP/ACTG1/RASAL2/RASA1/CSK/EGFR/RET/SHC1/SEM1/IRS1/JAK2/SPRED3/KSR1/SPTAN1/EGF/PSMD14/RASGRF2/FGFR1/JAK1/PIK3R1/PEA15/ABHD17A/IQGAP1/SOS1/NCAM1/PDGFA/TYK2/HRAS",51
"REACTOME_SEMAPHORIN_INTERACTIONS","REACTOME_SEMAPHORIN_INTERACTIONS","17/1437","64/11448",0.265625,2.11612734864301,3.39228075148346,0.00182473857906201,0.0298040634580128,0.0253588356413505,"NRP1/PIP5K1C/DPYSL3/PLXNA1/SEMA6D/PLXNB1/CFL1/MYH9/RHOC/MYL6/PLXNA4/MYL9/PTPRC/ITGB1/HSP90AB1/RHOB/GSK3B",17
"REACTOME_FIBRONECTIN_MATRIX_FORMATION","REACTOME_FIBRONECTIN_MATRIX_FORMATION","8/1437","20/11448",0.4,3.1866388308977,3.70802311619471,0.00188361633330388,0.0304037836387402,0.0258691085279752,"FN1/COL1A1/COL4A5/ITGA5/COL5A3/COL1A2/ITGB1/COL4A3",8
"REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION","REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION","10/1437","29/11448",0.344827586206897,2.74710244042905,3.56893655540151,0.00196868402492624,0.0311078155433122,0.0264681352136974,"STAT5B/STAT3/RASA1/BCAR1/CRK/RAPGEF1/PIK3R1/SOS1/PDGFA/HRAS",10
"REACTOME_CGMP_EFFECTS","REACTOME_CGMP_EFFECTS","7/1437","16/11448",0.4375,3.48538622129436,3.76901845998552,0.00197258014013714,0.0311078155433122,0.0264681352136974,"KCNMB2/ITPR1/PDE5A/KCNMA1/KCNMB4/PDE2A/PRKG1",7
"REACTOME_ION_HOMEOSTASIS","REACTOME_ION_HOMEOSTASIS","15/1437","54/11448",0.277777777777778,2.21294363256785,3.38481460398212,0.00205761399603768,0.0317196225007158,0.0269886921538237,"SLC8A1/ITPR1/TNNI3/ATP1B3/TRDN/ATP2B4/FXYD6/CASQ2/TRPC1/ITPR3/ATP1B1/PLN/ATP2A3/DMPK/FXYD2",15
"REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R","REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R","15/1437","54/11448",0.277777777777778,2.21294363256785,3.38481460398212,0.00205761399603768,0.0317196225007158,0.0269886921538237,"IGF1/FGF7/FGF2/PDE3B/FGF1/GAB1/SHC1/IGF2/IRS1/PDPK1/FGFR1/CILP/PIK3R1/SOS1/HRAS",15
"REACTOME_SIGNALING_BY_NOTCH3","REACTOME_SIGNALING_BY_NOTCH3","14/1437","49/11448",0.285714285714286,2.27617059349836,3.39163330305994,0.0021455838920832,0.0327082344437573,0.0278298542259681,"HEYL/MAMLD1/UBC/PBX1/NOTCH1/IKZF1/EGFR/MIB1/EGF/WWC1/KAT2B/WWP2/JAG1/HEY1",14
"REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS","REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS","12/1437","39/11448",0.307692307692308,2.45126063915208,3.43945336104435,0.00220156217738081,0.0331927835974337,0.0282421336577827,"THBS1/ADAMTSL1/THBS2/ADAMTSL3/ADAMTS17/THSD7A/ADAMTS1/ADAMTS3/B3GLCT/THSD7B/ADAMTS2/ADAMTS19",12
"REACTOME_SIGNALING_BY_ERYTHROPOIETIN","REACTOME_SIGNALING_BY_ERYTHROPOIETIN","9/1437","25/11448",0.36,2.86797494780793,3.54230912728037,0.0023432908584026,0.0349455984535692,0.0297335190156577,"STAT5B/GAB1/SHC1/JAK2/RAPGEF1/PIK3R1/SOS1/HRAS/PIK3R5",9
